Frequency_rads	Cp_Farad	Bp_S	Dissipation	Gp_S
125.663706E+0	0.000000E+0	NaN	0.000000E+0	0.000000E+0
138.230077E+0	6.600000E-9	912.318507E-9	139.000000E-3	126.812272E-9
157.079633E+0	6.600000E-9	1.036726E-6	152.000000E-3	157.582288E-9
175.929189E+0	6.600000E-9	1.161133E-6	152.000000E-3	176.492162E-9
194.778745E+0	6.400000E-9	1.246584E-6	170.000000E-3	211.919274E-9
213.628300E+0	6.300000E-9	1.345858E-6	167.000000E-3	224.758335E-9
238.761042E+0	6.100000E-9	1.456442E-6	178.000000E-3	259.246739E-9
270.176968E+0	6.000000E-9	1.621062E-6	170.000000E-3	275.580508E-9
301.592895E+0	6.000000E-9	1.809557E-6	171.000000E-3	309.434310E-9
333.008821E+0	5.900000E-9	1.964752E-6	164.000000E-3	322.219335E-9
370.707933E+0	5.800000E-9	2.150106E-6	169.000000E-3	363.367916E-9
414.690230E+0	5.800000E-9	2.405203E-6	162.000000E-3	389.642940E-9
458.672527E+0	5.650000E-9	2.591500E-6	167.000000E-3	432.780463E-9
515.221195E+0	5.570000E-9	2.869782E-6	160.000000E-3	459.165129E-9
571.769863E+0	5.510000E-9	3.150452E-6	159.000000E-3	500.921859E-9
634.601716E+0	5.440000E-9	3.452233E-6	156.000000E-3	538.548400E-9
709.999940E+0	5.370000E-9	3.812700E-6	152.000000E-3	579.530351E-9
791.681349E+0	5.330000E-9	4.219662E-6	147.000000E-3	620.290254E-9
879.645943E+0	5.270000E-9	4.635734E-6	144.000000E-3	667.545713E-9
980.176908E+0	5.220000E-9	5.116523E-6	139.000000E-3	711.196761E-9
1.093274E+3	5.170000E-9	5.652228E-6	136.000000E-3	768.702986E-9
1.218938E+3	5.130000E-9	6.253152E-6	133.000000E-3	831.669174E-9
1.357168E+3	5.090000E-9	6.907985E-6	131.000000E-3	904.946068E-9
1.514248E+3	5.060000E-9	7.662093E-6	128.000000E-3	980.747924E-9
1.683894E+3	5.020000E-9	8.453146E-6	126.000000E-3	1.065096E-6
1.878672E+3	4.990000E-9	9.374575E-6	124.000000E-3	1.162447E-6
2.092301E+3	4.960000E-9	10.377812E-6	123.000000E-3	1.276471E-6
2.331062E+3	4.930000E-9	11.492134E-6	123.000000E-3	1.413533E-6
2.601239E+3	4.900000E-9	12.746070E-6	123.000000E-3	1.567767E-6
2.896548E+3	4.900000E-9	14.193087E-6	123.000000E-3	1.745750E-6
3.229557E+3	4.800000E-9	15.501875E-6	125.000000E-3	1.937734E-6
3.593982E+3	4.800000E-9	17.251114E-6	126.000000E-3	2.173640E-6
4.008672E+3	4.800000E-9	19.241627E-6	129.000000E-3	2.482170E-6
4.467345E+3	4.760000E-9	21.264561E-6	133.000000E-3	2.828187E-6
4.976283E+3	4.730000E-9	23.537817E-6	137.000000E-3	3.224681E-6
5.541769E+3	4.700000E-9	26.046316E-6	142.000000E-3	3.698577E-6
6.176371E+3	4.670000E-9	28.843653E-6	148.000000E-3	4.268861E-6
6.886371E+3	4.630000E-9	31.883898E-6	155.000000E-3	4.942004E-6
7.671769E+3	4.590000E-9	35.213421E-6	163.000000E-3	5.739788E-6
8.545132E+3	4.560000E-9	38.965802E-6	172.000000E-3	6.702118E-6
9.525309E+3	4.560000E-9	43.435409E-6	172.000000E-3	7.470890E-6
10.612300E+3	4.470000E-9	47.436981E-6	193.000000E-3	9.155337E-6
11.824955E+3	4.420000E-9	52.266300E-6	206.000000E-3	10.766858E-6
13.175840E+3	4.360000E-9	57.446661E-6	220.000000E-3	12.638265E-6
14.683804E+3	4.300000E-9	63.140357E-6	235.000000E-3	14.837984E-6
16.361415E+3	4.230000E-9	69.208784E-6	251.000000E-3	17.371405E-6
18.227521E+3	4.160000E-9	75.826486E-6	269.000000E-3	20.397325E-6
20.313538E+3	4.080000E-9	82.879235E-6	289.000000E-3	23.952099E-6
22.632033E+3	3.990000E-9	90.301814E-6	309.000000E-3	27.903260E-6
25.220706E+3	3.890000E-9	98.108546E-6	331.000000E-3	32.473929E-6
28.098405E+3	3.780000E-9	106.211970E-6	354.000000E-3	37.599037E-6
31.309112E+3	3.670000E-9	114.904442E-6	378.000000E-3	43.433879E-6
34.890528E+3	3.540000E-9	123.512469E-6	400.000000E-3	49.404988E-6
38.874067E+3	3.420000E-9	132.949311E-6	424.800000E-3	56.476867E-6
43.316280E+3	3.280000E-9	142.077397E-6	449.500000E-3	63.863790E-6
48.267430E+3	3.147000E-9	151.897601E-6	473.900000E-3	71.984273E-6
53.784066E+3	3.010000E-9	161.890039E-6	497.500000E-3	80.540295E-6
59.929021E+3	2.873000E-9	172.176079E-6	520.400000E-3	89.600431E-6
66.777693E+3	2.739000E-9	182.904102E-6	541.900000E-3	99.115733E-6
74.405480E+3	2.607000E-9	193.975087E-6	562.100000E-3	109.033397E-6
82.906630E+3	2.481000E-9	205.691349E-6	580.400000E-3	119.383259E-6
92.381674E+3	2.357000E-9	217.743605E-6	598.000000E-3	130.210676E-6
102.937425E+3	2.238000E-9	230.373957E-6	613.400000E-3	141.311385E-6
114.699548E+3	2.125000E-9	243.736539E-6	627.100000E-3	152.847184E-6
127.806272E+3	2.016000E-9	257.657445E-6	638.600000E-3	164.540044E-6
142.408395E+3	1.913000E-9	272.427260E-6	647.700000E-3	176.451136E-6
158.681845E+3	1.815000E-9	288.007549E-6	654.000000E-3	188.356937E-6
176.815118E+3	1.724000E-9	304.829263E-6	657.100000E-3	200.303309E-6
