Amplitude,DC Bias,DC Bias
10.000000E-3,-114.142136E-3,-114.142136E-3
30.000000E-3,-142.426407E-3,-142.426407E-3
50.000000E-3,-170.710678E-3,-170.710678E-3
70.000000E-3,-198.994949E-3,-198.994949E-3
90.000000E-3,-227.279221E-3,-227.279221E-3
110.000000E-3,-255.563492E-3,-255.563492E-3
130.000000E-3,-283.847763E-3,-283.847763E-3
150.000000E-3,-312.132034E-3,-312.132034E-3
170.000000E-3,-340.416306E-3,-340.416306E-3
190.000000E-3,-368.700577E-3,-368.700577E-3
210.000000E-3,-396.984848E-3,-396.984848E-3
230.000000E-3,-425.269119E-3,-425.269119E-3
250.000000E-3,-453.553391E-3,-453.553391E-3
270.000000E-3,-481.837662E-3,-481.837662E-3
290.000000E-3,-510.121933E-3,-510.121933E-3
310.000000E-3,-538.406204E-3,-538.406204E-3
330.000000E-3,-566.690476E-3,-566.690476E-3
350.000000E-3,-594.974747E-3,-594.974747E-3
370.000000E-3,-623.259018E-3,-623.259018E-3
390.000000E-3,-651.543289E-3,-651.543289E-3
