Amplitude,Capacitance,Dissipation
10.000000E-3,5.540000E-9,6.800000E-6
30.000000E-3,5.450000E-9,6.700000E-6
50.000000E-3,5.360000E-9,6.600000E-6
70.000000E-3,5.270000E-9,6.400000E-6
90.000000E-3,5.180000E-9,6.300000E-6
110.000000E-3,5.100000E-9,6.070000E-6
130.000000E-3,5.037000E-9,5.930000E-6
150.000000E-3,4.970000E-9,5.750000E-6
170.000000E-3,4.908000E-9,5.560000E-6
190.000000E-3,4.850000E-9,5.380000E-6
210.000000E-3,4.798000E-9,5.220000E-6
230.000000E-3,4.752000E-9,5.050000E-6
250.000000E-3,4.718000E-9,4.920000E-6
270.000000E-3,4.681000E-9,4.780000E-6
290.000000E-3,4.647000E-9,4.630000E-6
310.000000E-3,4.616000E-9,4.500000E-6
330.000000E-3,4.588000E-9,4.380000E-6
350.000000E-3,4.568000E-9,4.310000E-6
370.000000E-3,4.545000E-9,4.210000E-6
390.000000E-3,4.524000E-9,4.100000E-6
